date_id,year,year_label
1,2018,2018
2,2019,2019
3,2020,2020
4,2021,2021
5,2022,2022
6,2023,2023
8,2018,2018
9,2019,2019
10,2020,2020
11,2021,2021
12,2022,2022
13,2023,2023
15,2018,2018
16,2019,2019
17,2020,2020
18,2021,2021
19,2022,2022
20,2023,2023
