fact_id,geo_id,date_id,sales_amount
1,1,6,1588197606.00
2,1,13,1588197606.00
3,1,20,1588197606.00
4,1,5,1459941083.00
5,1,12,1459941083.00
6,1,19,1459941083.00
7,1,4,1375081132.00
8,1,11,1375081132.00
9,1,18,1375081132.00
10,1,3,1191203397.00
11,1,10,1191203397.00
12,1,17,1191203397.00
13,1,2,1144548970.00
14,1,9,1144548970.00
15,1,16,1144548970.00
16,1,1,1096217140.00
17,1,8,1096217140.00
18,1,15,1096217140.00
19,2,6,184182394.00
20,2,13,184182394.00
21,2,20,184182394.00
22,2,5,168929917.00
23,2,12,168929917.00
24,2,19,168929917.00
25,2,4,160078868.00
26,2,11,160078868.00
27,2,18,160078868.00
28,2,3,141868603.00
29,2,10,141868603.00
30,2,17,141868603.00
31,2,2,133022030.00
32,2,9,133022030.00
33,2,16,133022030.00
34,2,1,127332860.00
35,2,8,127332860.00
36,2,15,127332860.00
37,3,6,18720585.00
38,3,13,18720585.00
39,3,20,18720585.00
40,3,5,17213991.00
41,3,12,17213991.00
42,3,19,17213991.00
43,3,4,16465898.00
44,3,11,16465898.00
45,3,18,16465898.00
46,3,3,14682518.00
47,3,10,14682518.00
48,3,17,14682518.00
49,3,2,13540159.00
50,3,9,13540159.00
51,3,16,13540159.00
52,3,1,12839745.00
53,3,8,12839745.00
54,3,15,12839745.00
55,4,6,4268657.00
56,4,13,4268657.00
57,4,20,4268657.00
58,4,5,3919550.00
59,4,12,3919550.00
60,4,19,3919550.00
61,4,4,3785274.00
62,4,11,3785274.00
63,4,18,3785274.00
64,4,3,3395452.00
65,4,10,3395452.00
66,4,17,3395452.00
67,4,2,3096098.00
68,4,9,3096098.00
69,4,16,3096098.00
70,4,1,2958531.00
71,4,8,2958531.00
72,4,15,2958531.00
73,5,6,2515021.00
74,5,13,2515021.00
75,5,20,2515021.00
76,5,5,2313237.00
77,5,12,2313237.00
78,5,19,2313237.00
79,5,4,2214793.00
80,5,11,2214793.00
81,5,18,2214793.00
82,5,3,2018893.00
83,5,10,2018893.00
84,5,17,2018893.00
85,5,2,1919945.00
86,5,9,1919945.00
87,5,16,1919945.00
88,5,1,1836017.00
89,5,8,1836017.00
90,5,15,1836017.00
91,6,6,900621.00
92,6,13,900621.00
93,6,20,900621.00
94,6,5,825408.00
95,6,12,825408.00
96,6,19,825408.00
97,6,4,801713.00
98,6,11,801713.00
99,6,18,801713.00
100,6,3,748101.00
101,6,10,748101.00
102,6,17,748101.00
103,6,2,733950.00
104,6,9,733950.00
105,6,16,733950.00
106,6,1,686175.00
107,6,8,686175.00
108,6,15,686175.00
109,7,6,37955345.00
110,7,13,37955345.00
111,7,20,37955345.00
112,7,5,35265870.00
113,7,12,35265870.00
114,7,19,35265870.00
115,7,4,33051608.00
116,7,11,33051608.00
117,7,18,33051608.00
118,7,3,28773469.00
119,7,10,28773469.00
120,7,17,28773469.00
121,7,2,26138459.00
122,7,9,26138459.00
123,7,16,26138459.00
124,7,1,24962246.00
125,7,8,24962246.00
126,7,15,24962246.00
127,8,6,1150318.00
128,8,13,1150318.00
129,8,20,1150318.00
130,8,5,1044033.00
131,8,12,1044033.00
132,8,19,1044033.00
133,8,4,991140.00
134,8,11,991140.00
135,8,18,991140.00
136,8,3,920901.00
137,8,10,920901.00
138,8,17,920901.00
139,8,2,817765.00
140,8,9,817765.00
141,8,16,817765.00
142,8,1,813960.00
143,8,8,813960.00
144,8,15,813960.00
145,9,6,10097264.00
146,9,13,10097264.00
147,9,20,10097264.00
148,9,5,9343308.00
149,9,12,9343308.00
150,9,19,9343308.00
151,9,4,8796266.00
152,9,11,8796266.00
153,9,18,8796266.00
154,9,3,7581850.00
155,9,10,7581850.00
156,9,17,7581850.00
157,9,2,6863415.00
158,9,9,6863415.00
159,9,16,6863415.00
160,9,1,6778819.00
161,9,8,6778819.00
162,9,15,6778819.00
163,10,6,4147172.00
164,10,13,4147172.00
165,10,20,4147172.00
166,10,5,3831567.00
167,10,12,3831567.00
168,10,19,3831567.00
169,10,4,3637754.00
170,10,11,3637754.00
171,10,18,3637754.00
172,10,3,3155456.00
173,10,10,3155456.00
174,10,17,3155456.00
175,10,2,2860188.00
176,10,9,2860188.00
177,10,16,2860188.00
178,10,1,2804951.00
179,10,8,2804951.00
180,10,15,2804951.00
181,11,6,230246210.00
182,11,13,230246210.00
183,11,20,230246210.00
184,11,5,212636341.00
185,11,12,212636341.00
186,11,19,212636341.00
187,11,4,196640863.00
188,11,11,196640863.00
189,11,18,196640863.00
190,11,3,170816115.00
191,11,10,170816115.00
192,11,17,170816115.00
